Model version,EM,Release date,Organization,Country,Training compute (FLOP),Training compute notes,Name,Shots,Source,Source link,Notes,id
Llama-2-13b,0.548,2023-07-18,Meta AI,United States of America,1.6e+23,13 billion parameters * 2 trillion tokens * 6 FLOP / token / parameter = 1.6e23 FLOP,LLaMA-2 13B,5,Nemotron-4 15B Technical Report,http://arxiv.org/abs/2402.16819,,recQpivyiHncdya7p
Llama-2-34b,0.626,2023-07-18,Meta AI,United States of America,4.08e+23,"All models sizes trained on 2.0T tokens, per table 1
2T * 34b * 6 = 4.08e23

Also trained on 1038336 A100-hours, which is 3.5e23 at 30% utilization. So the utilization was probably around 35%.",LLaMA-2 34B,5,Nemotron-4 15B Technical Report,http://arxiv.org/abs/2402.16819,,reccZ0kQv849Nx6S0
Meta-Llama-3-8B-Instruct,0.665,2024-04-18,Meta AI,United States of America,7.2e+23,"Counting operations
15000000000000 tokens*8000000000.00 parameters*6 FLOP / token / parameter = 7.2×10^23 FLOP

GPU calculation
400 TFLOPS per GPU * 1.3M GPU hours * 3600s=1.872×10^24 
(it is not confident that 400 TFLOPs applies to the Llama 3-8B training run)",Llama-3-In 8b          ,5,Phi-3 Technical Report: A Highly Capable Language Model Locally on Your Phone,http://arxiv.org/abs/2404.14219,,recKeTJ0WxkfqaXc6
Llama-3.1-405B,0.844,2024-07-23,Meta AI,United States of America,3.8e+25,"Stated in paper.

Also, 6 * 405B * 15.6T training tokens = 3.8e25",LLaMA-3.1 405B Base,5,DeepSeek-V3 Technical Report,https://arxiv.org/pdf/2412.19437,,rec7Kb0dlps0bAwVq
LLaMA-7B,0.351,2023-02-24,Meta AI,United States of America,4.00000001e+22,"1T tokens * 6.7B parameters * 6 FLOP/token/parameter = 4e22 FLOP
",LLaMA-7B,5,Baichuan 2: Open Large-scale Language Models,http://arxiv.org/abs/2309.10305,,recOK4kloLRVBYWyC
LLaMA-7B,0.351,2023-02-24,Meta AI,United States of America,4.00000001e+22,"1T tokens * 6.7B parameters * 6 FLOP/token/parameter = 4e22 FLOP
",LLaMA-7B,5,XGen-7B Technical Report,http://arxiv.org/abs/2309.03450,,recyV0OffUnewduYa
LLaMA-7B,0.32,2023-02-24,Meta AI,United States of America,4.00000001e+22,"1T tokens * 6.7B parameters * 6 FLOP/token/parameter = 4e22 FLOP
",LLaMA-7B,0,XGen-7B Technical Report,http://arxiv.org/abs/2309.03450,,reck2fsCW8rwEIBV3
LLaMA-7B,0.352,2023-02-24,Meta AI,United States of America,4.00000001e+22,"1T tokens * 6.7B parameters * 6 FLOP/token/parameter = 4e22 FLOP
",Llama-7B,2,Textbooks Are All You Need II: phi-1.5 technical report,http://arxiv.org/abs/2309.05463,,recXt1b7mmd7pBCEN
LLaMA-13B,0.463,2023-02-24,Meta AI,United States of America,7.8e+22,"1T tokens * 13B parameters * 6 FLOP/token/parameter = 7.8e22

from paper, Llama-13B took 135,168 GPU hours using A100s

312 trillion * 135,168 * 3600 = 1.518e23 FLOPs at full utilization
This implies that the actual utilization was:
MFU = 7.8e22/1.518e23 = 0.514",LLaMA-13B,5,Baichuan 2: Open Large-scale Language Models,http://arxiv.org/abs/2309.10305,,recC5kLFkYdywVLTE
Llama-2-7b,0.453,2023-07-18,Meta AI,United States of America,8.4e+22,"Trained on 2 trillion tokens per Table 1. 

C = 6ND = 6 FLOP / token / parameter * 7B parameters * 2T tokens = 8.4e+22 FLOP.

Also, 7B model was trained on 184320 GPU-hours

312 trillion * 184320 GPU-hours * 3600 sec/hour * 0.3 [utilization] = 6.21e22 FLOP",Llama2-7B,2,Textbooks Are All You Need II: phi-1.5 technical report,http://arxiv.org/abs/2309.05463,,rechfMlLcdL4d6JYV
Llama-2-13b-chat,0.509,2023-07-18,Meta AI,United States of America,1.6e+23,13 billion parameters * 2 trillion tokens * 6 FLOP / token / parameter = 1.6e23 FLOP,LLaMA2-Chat 13B,0,Yi: Open Foundation Models by 01.AI,http://arxiv.org/abs/2403.04652,,reccr6kNapl4XhHMh
Llama-2-13b-chat,0.473,2023-07-18,Meta AI,United States of America,1.6e+23,13 billion parameters * 2 trillion tokens * 6 FLOP / token / parameter = 1.6e23 FLOP,LLaMA2-Chat 13B,5,Yi: Open Foundation Models by 01.AI,http://arxiv.org/abs/2403.04652,,recP7LM6vdowGXldC
Llama-2-70b-chat,0.594,2023-07-18,Meta AI,United States of America,8.1e+23,"""Pretraining utilized a cumulative 3.3M GPU hours of computation on hardware of type A100-80GB"" of which 1720320 GPU hours were used to train the 70B model.

311.84 BF16 TFLOP/s * 1720320 hours * 0.40 utilization = 7.725e+23 FLOP.

Alternatively: the model was trained for 1 epoch on 2 trillion tokens and has 70B parameters. C = 6ND = 6*70B*2T = 8.4e+23 FLOP.",LLaMA2-Chat 70B,0,Yi: Open Foundation Models by 01.AI,http://arxiv.org/abs/2403.04652,,rechEaZxx7y6EW89C
Llama-2-70b-chat,0.599,2023-07-18,Meta AI,United States of America,8.1e+23,"""Pretraining utilized a cumulative 3.3M GPU hours of computation on hardware of type A100-80GB"" of which 1720320 GPU hours were used to train the 70B model.

311.84 BF16 TFLOP/s * 1720320 hours * 0.40 utilization = 7.725e+23 FLOP.

Alternatively: the model was trained for 1 epoch on 2 trillion tokens and has 70B parameters. C = 6ND = 6*70B*2T = 8.4e+23 FLOP.",LLaMA2-Chat 70B,5,Yi: Open Foundation Models by 01.AI,http://arxiv.org/abs/2403.04652,,recq7vZurZvyzSaF8
Llama-3.3-70B-Instruct,0.863,2024-12-06,Meta AI,United States of America,6.8649768e+24,"6ND = 6 FLOP / parameter / token * 70*10^9 parameters * 15*10^12 tokens = 6.3e+24 FLOP

7000000 GPU-hours * 3600 sec / hour * 989500000000000 FLOP / second * 0.3 [assumed utilization]= 7.48062e+24 FLOP

sqrt(7.48062e+24*6.3e+24) = 6.8649768e+24",Llama3.3 70b instruct,5,Phi-4 Technical Report,http://arxiv.org/abs/2412.08905,"Specifically, we used log-likelihood evaluations for MMLU (5-shot)",recFwE99pUPS1RrqR
Mistral-7B-Instruct-v0.2,0.625,2023-12-11,Mistral AI,France,,,Mistral 7B,5,Gemma: Open Models Based on Gemini Research and Technology,https://arxiv.org/pdf/2403.08295,"5-shot top-1
",rec5aVLAAe2uwnAJ3
Mistral-7B-v0.1,0.625,2023-09-27,Mistral AI,France,,,Mistral 7B,5,Mixtral of Experts,https://arxiv.org/pdf/2401.04088,,reclqttZHU3FrMenP
Mistral-7B-v0.1,0.601,2023-09-27,Mistral AI,France,,,Mistral 7B,5,Nemotron-4 15B Technical Report,http://arxiv.org/abs/2402.16819,,recobovxkli2yXD7Q
Mistral-7B-v0.1,0.617,2023-09-27,Mistral AI,France,,,Mistral 7b             ,5,Phi-3 Technical Report: A Highly Capable Language Model Locally on Your Phone,http://arxiv.org/abs/2404.14219,,recrKIaLtBWuoRKy0
Mistral-7B-Instruct-v0.3,0.599,2024-05-27,Mistral AI,France,,,Mistral Instruct v0.3 (7B),5,Stanford CRFM Leaderboard,https://crfm.stanford.edu/helm/lite/latest/#/leaderboard/mmlu,,recxGM6lCcs0CnKWO
mistral-large-2402,0.688,2024-02-26,Mistral AI,France,,"https://www.wsj.com/tech/ai/the-9-month-old-ai-startup-challenging-silicon-valleys-giants-ee2e4c48

Mistral spent <20 million euro (meaning approximately 20 million?) to train Mistral Large.


Assuming bf16 or fp16, H100 SXM performance is 989 TFLOPS
At 1.9 euro per H100-hour and 30% utilization, spending 20M euro produces 1.12*10^25 FLOP.
https://www.wolframalpha.com/input?i=20+million+%2F+%281.9%2Fhour%29+*+989+TFLOPS+*+0.30 ",Mistral Large (2402),5,Stanford CRFM Leaderboard,https://crfm.stanford.edu/helm/lite/latest/#/leaderboard/mmlu,,recMfHwyb3g0GU3WP
mistral-large-2407,0.8,2024-07-24,Mistral AI,France,,"[Editor's note: this record previously contained a training compute estimate of ~1e25 FLOP. This is better described as an upper bound instead. See note below for details]

Details are sparse, but we can hazard a guess based on evidence about the training cluster they may have used, the scale up in compute they likely would have used relative to Mistral Large 1, and from the model's MMLU score. Extended reasoning given here: https://docs.google.com/document/d/1I2ZWBLFMpRZYcdMMUfKAGZFJrOJpduNDS9ZeVFIHnd8/edit?usp=sharing",Mistral Large 2 (2407),5,Stanford CRFM Leaderboard,https://crfm.stanford.edu/helm/lite/latest/#/leaderboard/mmlu,,recKDxkbfoASopZz7
,0.653,,,,,,Mistral NeMo (2402),5,Stanford CRFM Leaderboard,https://crfm.stanford.edu/helm/lite/latest/#/leaderboard/mmlu,,reccvR6S88KxSkuED
mistral-small-2402,0.687,2024-02-26,,,,,Mistral Small (2402),5,Stanford CRFM Leaderboard,https://crfm.stanford.edu/helm/lite/latest/#/leaderboard/mmlu,,recKStU0sPWNiLWCM
Mistral-7B-v0.1,0.566,2023-09-27,Mistral AI,France,,,Mistral v0.1 (7B),5,Stanford CRFM Leaderboard,https://crfm.stanford.edu/helm/lite/latest/#/leaderboard/mmlu,,recdbbEpQDnuQx1SM
,0.717,,,,,,Mixtral (8x7B 32K seqlen),5,Stanford CRFM Leaderboard,https://crfm.stanford.edu/helm/lite/latest/#/leaderboard/mmlu,,recHxyrzN6ysHgwup
Mixtral-8x22B-v0.1,0.778,2024-04-17,Mistral AI,France,2.34e+24,"Assuming the model was trained on ~1-10 trillions of tokens (same OOM as the models from the comparison in Figure 1. Llama 2 was trained on 2T tokens) + Mistral Small 3 was trained on 8T of tokens, we can estimate training compute with ""speculative"" confidence:

6 FLOP / token / parameter * 39 * 10^9 active parameters * 10*10^12 tokens [speculatively] = 2.34e+24 FLOP",Mixtral (8x22B),5,Stanford CRFM Leaderboard,https://crfm.stanford.edu/helm/lite/latest/#/leaderboard/mmlu,,reczWpbUvk8LZHdwj
Mixtral-8x7B-v0.1,0.706,2023-12-11,Mistral AI,France,7.74e+23,"Assuming the model was trained on ~1-10 trillions of tokens (same OOM as the models from the comparison in Figure 1. Llama 2 was trained on 2T tokens) + Mistral Small 3 was trained on 8T of tokens, we can estimate training compute with ""speculative"" confidence:

6 FLOP / token / parameter * 12.9 * 10^9 active parameters * 10*10^12 tokens [speculatively] = 7.74e+23 FLOP",Mixtral 8x7B,5,Mixtral of Experts,https://arxiv.org/pdf/2401.04088,,rec2QbPaiM3fs3ojk
Mixtral-8x7B-v0.1,0.705,2023-12-11,Mistral AI,France,7.74e+23,"Assuming the model was trained on ~1-10 trillions of tokens (same OOM as the models from the comparison in Figure 1. Llama 2 was trained on 2T tokens) + Mistral Small 3 was trained on 8T of tokens, we can estimate training compute with ""speculative"" confidence:

6 FLOP / token / parameter * 12.9 * 10^9 active parameters * 10*10^12 tokens [speculatively] = 7.74e+23 FLOP",Mixtral 8x7b           ,5,Phi-3 Technical Report: A Highly Capable Language Model Locally on Your Phone,http://arxiv.org/abs/2404.14219,,recVbhuiQ3mCmSZWs
mpt-7b,0.308,2023-05-05,MosaicML,United States of America,4.2000000000000004e+22,"""As shown in Table 3, nearly all of the training budget was spent on the base MPT-7B model, which took ~9.5 days to train on 440xA100-40GB GPUs, and cost ~$200k.""",MPT 7B,5,Qwen Technical Report,https://arxiv.org/pdf/2309.16609,,recXxnvP42eSSUf1r
mpt-7b,0.268,2023-05-05,MosaicML,United States of America,4.2000000000000004e+22,"""As shown in Table 3, nearly all of the training budget was spent on the base MPT-7B model, which took ~9.5 days to train on 440xA100-40GB GPUs, and cost ~$200k.""",MPT 7B,5,Llama 2: Open Foundation and Fine-Tuned Chat Models,http://arxiv.org/abs/2307.09288,,rec6fhu1fu0tDpFCM
mpt-30b,0.479,2023-06-22,MosaicML,United States of America,1.8900000000001e+23,"According to their blog post,
""MPT-30B FLOPs ~= 6 * 30e9 [params] * 1.05e12 [tokens] = 1.89e23 FLOPs""",MPT 30B,5,Qwen Technical Report,https://arxiv.org/pdf/2309.16609,,recsvME0N7N3lHCNM
mpt-30b,0.469,2023-06-22,MosaicML,United States of America,1.8900000000001e+23,"According to their blog post,
""MPT-30B FLOPs ~= 6 * 30e9 [params] * 1.05e12 [tokens] = 1.89e23 FLOPs""",MPT 30B,5,Llama 2: Open Foundation and Fine-Tuned Chat Models,http://arxiv.org/abs/2307.09288,,recORhwxKRN3CKT5H
mpt-7b,0.2793,2023-05-05,MosaicML,United States of America,4.2000000000000004e+22,"""As shown in Table 3, nearly all of the training budget was spent on the base MPT-7B model, which took ~9.5 days to train on 440xA100-40GB GPUs, and cost ~$200k.""",MPT-7B,5,Baichuan 2: Open Large-scale Language Models,http://arxiv.org/abs/2309.10305,,recciuLJt00P8UdBH
mpt-7b,0.268,2023-05-05,MosaicML,United States of America,4.2000000000000004e+22,"""As shown in Table 3, nearly all of the training budget was spent on the base MPT-7B model, which took ~9.5 days to train on 440xA100-40GB GPUs, and cost ~$200k.""",MPT-7B,2,Textbooks Are All You Need II: phi-1.5 technical report,http://arxiv.org/abs/2309.05463,,recThSGOCYopyGBAn
mpt-7b,0.267,2023-05-05,MosaicML,United States of America,4.2000000000000004e+22,"""As shown in Table 3, nearly all of the training budget was spent on the base MPT-7B model, which took ~9.5 days to train on 440xA100-40GB GPUs, and cost ~$200k.""",MPT-7B,5,XGen-7B Technical Report,http://arxiv.org/abs/2309.03450,,recnP0IxuIUI5wyAV
mpt-7b,0.274,2023-05-05,MosaicML,United States of America,4.2000000000000004e+22,"""As shown in Table 3, nearly all of the training budget was spent on the base MPT-7B model, which took ~9.5 days to train on 440xA100-40GB GPUs, and cost ~$200k.""",MPT-7B,0,XGen-7B Technical Report,http://arxiv.org/abs/2309.03450,,recjktWCt7fCSUqIu
Nemotron-4 15B,0.587,2024-02-26,NVIDIA,United States of America,7.5005116e+23,"6ND = 6 FLOP/token/parameter * 15*10^9 parameters * 8*10^12 tokens = 7.2e+23 FLOP

""Nemotron-4 was trained using 384 DGX H100 nodes; each node contains 8 H100 80GB SXM5 GPUs based on the NVIDIA Hopper architecture (NVIDIA, 2022). Each H100 GPU has a peak throughput of 989 teraFLOP/s when doing 16-bit floating point (bfloat16) arithmetic without sparsity.

Table 2 reports more detailed training schedule:

989*10^12 FLOP/sec * 3600 sec/hour * 24 hours * (768 gpus * 0.343 [reported utilization] * 0.8 days +  1536 gpus * 0.333 [reported utilization] * 0.4 days + 2304 gpus * 0.305 [reported utilization] * 11.9 days) = 7.5005116e+23 FLOP",Nemotron-4 15B,5,Nemotron-4 15B Technical Report,http://arxiv.org/abs/2402.16819,,recFoOkw8h4blebt7
,0.295,,,,,,OLMo (7B),5,Stanford CRFM Leaderboard,https://crfm.stanford.edu/helm/lite/latest/#/leaderboard/mmlu,,recSXeZwsr3iejrsy
,0.538,,,,,,OLMo 1.7 (7B),5,Stanford CRFM Leaderboard,https://crfm.stanford.edu/helm/lite/latest/#/leaderboard/mmlu,,recfz827JQEYK0ML2
open_llama_7b,0.299,2023-06-07,,,,,OpenLLaMA-7B,5,XGen-7B Technical Report,http://arxiv.org/abs/2309.03450,,recS3RPFpiAohJDyr
open_llama_7b,0.286,2023-06-07,,,,,OpenLLaMA-7B,0,XGen-7B Technical Report,http://arxiv.org/abs/2309.03450,,recKitarPK5ZkGKHY
opt-13b,0.251,2022-05-11,,,,,OPT-13B,5,XGen-7B Technical Report,http://arxiv.org/abs/2309.03450,,recnCITHR0D69TaSW
opt-13b,0.244,2022-05-11,,,,,OPT-13B,0,XGen-7B Technical Report,http://arxiv.org/abs/2309.03450,,recptjItsyCc9FRVH
,0.254,,,,,,PaLM 8B,5,LLaMA: Open and Efficient Foundation Language Models,http://arxiv.org/abs/2302.13971,,rec86hiwuXU11mYYm
PaLM 62B,0.537,2022-04-04,,,,,PaLM 62B,5,LLaMA: Open and Efficient Foundation Language Models,http://arxiv.org/abs/2302.13971,,rec9nwU5JvWa3KMNP
PaLM 540B,0.693,2022-04-04,Google Research,United States of America,2.5272e+24,"See Table 20.

6144 TPUv4 for 1200 hours + 3072 TPUv4 for 336 hours.
Equivalent to 6144 TPUv4 for 1368 hours.

46.2% model FLOPs utilization

""The 540B-parameter PaLM model sustained a remarkable 57.8% of the peak hardware floating point performance over 50 days while training on TPU v4 supercomputers."" https://cloud.google.com/blog/topics/systems/tpu-v4-enables-performance-energy-and-co2e-efficiency-gains",PaLM 540B,5,LLaMA: Open and Efficient Foundation Language Models,http://arxiv.org/abs/2302.13971,,recq6tXUJ4hdJZHiK
,0.692,,,,,,PaLM-2 (Bison),5,Stanford CRFM Leaderboard,https://crfm.stanford.edu/helm/lite/latest/#/leaderboard/mmlu,,receRMAyrZg4S22XH
,0.786,,,,,,PaLM-2 (Unicorn),5,Stanford CRFM Leaderboard,https://crfm.stanford.edu/helm/lite/latest/#/leaderboard/mmlu,,recrhlTc9IULolRYJ
,0.621,,,,,,Palmyra X V2 (33B),5,Stanford CRFM Leaderboard,https://crfm.stanford.edu/helm/lite/latest/#/leaderboard/mmlu,,recgWVSaehLn2uc2n
,0.786,,,,,,Palmyra X V3 (72B),5,Stanford CRFM Leaderboard,https://crfm.stanford.edu/helm/lite/latest/#/leaderboard/mmlu,,recraXT1q5kVa9Df9
,0.739,,,,,,Palmyra-X-004,5,Stanford CRFM Leaderboard,https://crfm.stanford.edu/helm/lite/latest/#/leaderboard/mmlu,,recxRfXGUWwfxzfMT
phi-1_5,0.376,2023-09-11,Microsoft,United States of America,1.17e+21,"150B training tokens

150B*1.3B*6 = 1.17e21

also, took 1.5k GPU-hours with A100s, per Table 1

1500 * 312 trillion * 3600 * 0.3 (utilization assumption) = 5.05e20

so utilization was likely ~60%. may be high due to the relatively small cluster.
",phi-1.5,2,Textbooks Are All You Need II: phi-1.5 technical report,http://arxiv.org/abs/2309.05463,"We use the harness-eval zero-shot accuracy on PIQA, Hellaswag, OpenbookQA, 2-shot performance on MMLU,",recIRX5Xrwuj0aVsw
phi-2,0.584,2023-12-12,Microsoft,United States of America,2.27e+22,"2.7B params, trained on 1.4T tokens

2.7 billion * 1.4 trillion * 6 = 2.27e22

96*14 A100-days

14 * 96 * 312 trillion * 24 * 3600 * 0.3 = 1.09e22",Phi-2,5,Stanford CRFM Leaderboard,https://crfm.stanford.edu/helm/lite/latest/#/leaderboard/mmlu,,recOjVJ9mVKxRJb67
phi-2,0.563,2023-12-12,Microsoft,United States of America,2.27e+22,"2.7B params, trained on 1.4T tokens

2.7 billion * 1.4 trillion * 6 = 2.27e22

96*14 A100-days

14 * 96 * 312 trillion * 24 * 3600 * 0.3 = 1.09e22",Phi-2,5,Phi-3 Technical Report: A Highly Capable Language Model Locally on Your Phone,http://arxiv.org/abs/2404.14219,,recZMvyAbMp0eIx88
,0.757,,,,,,Phi-3 (7B),5,Stanford CRFM Leaderboard,https://crfm.stanford.edu/helm/lite/latest/#/leaderboard/mmlu,,recjSB9vhRshMrbfW
Phi-3-medium-128k-instruct,0.775,2024-04-23,Microsoft,United States of America,4.032e+23,counting operations: 6×4.8×10^12 tokens × 14×10^9 parameters ≈ 4.032×10^23 FLOPS,Phi-3 (14B),5,Stanford CRFM Leaderboard,https://crfm.stanford.edu/helm/lite/latest/#/leaderboard/mmlu,,recIC2lbeIoOMCnU9
Phi-3-medium-128k-instruct,0.779,2024-04-23,Microsoft,United States of America,4.032e+23,counting operations: 6×4.8×10^12 tokens × 14×10^9 parameters ≈ 4.032×10^23 FLOPS,Phi-3 14b,5,Phi-4 Technical Report,http://arxiv.org/abs/2412.08905,"Specifically, we used log-likelihood evaluations for MMLU (5-shot)",recokPFC1wM7clrm7
Phi-3-medium-128k-instruct,0.78,2024-04-23,Microsoft,United States of America,4.032e+23,counting operations: 6×4.8×10^12 tokens × 14×10^9 parameters ≈ 4.032×10^23 FLOPS,Phi-3-medium,5,Phi-3 Technical Report: A Highly Capable Language Model Locally on Your Phone,http://arxiv.org/abs/2404.14219,,recCmqAcPDN7z3eOd
Phi-3-mini-4k-instruct,0.688,2024-04-23,Microsoft,United States of America,7.524e+22,"counting operations: 6×3.3×10^12 tokens ×3.8×10^9 parameters ≈7.524×10^22 FLOPS
hardware estimate: 7 days ×24 hours / day×3600 sec / hour *989,000,000,000,000 FLOP/s*512 GPUs*0.3 [assumed utilization]=9.187540992×10^22",Phi-3-mini,5,Phi-3 Technical Report: A Highly Capable Language Model Locally on Your Phone,http://arxiv.org/abs/2404.14219,,recBm3x8Mkas41pg2
Phi-3-small-8k-instruct,0.757,2024-04-23,Microsoft,United States of America,2.1312e+23,6ND = 6 FLOP / parameter / token * 7.4B parameters * 4.8T tokens = 2.1312e+23 FLOP,Phi-3-small,5,Phi-3 Technical Report: A Highly Capable Language Model Locally on Your Phone,http://arxiv.org/abs/2404.14219,,reclGoqueJP6ji9WZ
phi-4,0.848,2024-12-12,Microsoft Research,United States of America,9.3202015e+23,"6ND = 6* 14*10^9 parameters * 10*10^12 tokens = 8.4e+23 FLOP

989500000000000 FLOP / sec [assumed bf16 precision] * 1920 GPUs * 504 hours * 3600 sec / hour * 0.3 [assumed utilization] = 1.0341209e+24 FLOP

geometric mean
sqrt(8.4e+23 * 1.0341209e+24) = 9.3202015e+23",Phi-4 14b,5,Phi-4 Technical Report,http://arxiv.org/abs/2412.08905,"""Specifically, we used log-likelihood evaluations for MMLU (5-shot)""",recPr3djloYa7CtTW
Qwen-1_8B,0.282,2023-11-30,,,,,Qwen 1.8B,5,Qwen Technical Report,https://arxiv.org/pdf/2309.16609,,recJEnP48cP1MNsrP
Qwen-7B,0.45,2023-09-28,Alibaba,China,1.01e+23,"2.4T tokens per Table 1

7b*2.4T*6 = 1.01e23",Qwen 7B,5,Qwen Technical Report,https://arxiv.org/pdf/2309.16609,,recZMyuEA1HyQDC9A
Qwen-14B,0.663,2023-09-28,Alibaba,China,2.5e+23,"3T tokens per Table 1

14B*3T*6 = 2.5e23",QWEN 14B,5,Nemotron-4 15B Technical Report,http://arxiv.org/abs/2402.16819,,recbr9lo3CeOOBkvY
Qwen-14B,0.534,2023-09-28,Alibaba,China,2.5e+23,"3T tokens per Table 1

14B*3T*6 = 2.5e23",Qwen 14B,5,Qwen Technical Report,https://arxiv.org/pdf/2309.16609,,reci4VBEctqPF5t2B
Qwen-14B-Chat,0.64,2023-09-24,Alibaba,China,2.5e+23,"3T tokens per Table 1

14B*3T*6 = 2.5e23",Qwen-Chat 14B,0,Yi: Open Foundation Models by 01.AI,http://arxiv.org/abs/2403.04652,,rechXjvOrdKm234Fr
Qwen-14B-Chat,0.65,2023-09-24,Alibaba,China,2.5e+23,"3T tokens per Table 1

14B*3T*6 = 2.5e23",Qwen-Chat 14B,5,Yi: Open Foundation Models by 01.AI,http://arxiv.org/abs/2403.04652,,recfT37OwcoOgwoYl
Qwen1.5-7B,0.626,2024-02-04,Alibaba,China,1.68e+23,6 FLOP / parameter / token * 7*10^9 parameters * 4*10^12 tokens =  1.68e+23 FLOP,Qwen1.5 (7B),5,Stanford CRFM Leaderboard,https://crfm.stanford.edu/helm/lite/latest/#/leaderboard/mmlu,,recFmlmIXPZeKd0uT
qwen1.5-14B,0.686,2024-02-04,Alibaba,China,3.36e+23,6 FLOP / parameter / token * 14*10^9 parameters * 4*10^12 tokens =  3.36e+23 FLOP,Qwen1.5 (14B),5,Stanford CRFM Leaderboard,https://crfm.stanford.edu/helm/lite/latest/#/leaderboard/mmlu,,recgNYd9sZSHzqlh3
qwen1.5-32B,0.744,2024-02-04,Alibaba,China,,"upper bound is taken from Qwen1.5 72B training compute estimation

lower bound is taken from Qwen1.5 14B training compute estimation",Qwen1.5 (32B),5,Stanford CRFM Leaderboard,https://crfm.stanford.edu/helm/lite/latest/#/leaderboard/mmlu,,recpbIA4MZ2d0bMHo
,0.774,,,,,,Qwen1.5 (72B),5,Stanford CRFM Leaderboard,https://crfm.stanford.edu/helm/lite/latest/#/leaderboard/mmlu,,recN7w14y80rqwibJ
,0.768,,,,,,Qwen1.5 Chat (110B),5,Stanford CRFM Leaderboard,https://crfm.stanford.edu/helm/lite/latest/#/leaderboard/mmlu,,rec4IdPlkVEWoAke2
qwen2-72b-instruct,0.824,2024-06-07,Alibaba,China,3.02e+24,"72 billion params, 7 trillion tokens

6 * 72 billion * 7 trillion ~= 3.02e24",Qwen2 Instruct (72B),5,Stanford CRFM Leaderboard,https://crfm.stanford.edu/helm/lite/latest/#/leaderboard/mmlu,,rec4k5yqvGWnSlnLK
qwen2.5-14b-instruct,0.799,2024-09-19,Alibaba,China,1.58760000000001e+24,"Training dataset size was 18 trillion

6ND = 6 * 14.7 billion parameters * 18 trillion tokens = 1.59e24",Qwen2.5 14b instruct,5,Phi-4 Technical Report,http://arxiv.org/abs/2412.08905,"Specifically, we used log-likelihood evaluations for MMLU (5-shot)",recaLqeKOZiJFuyWC
Qwen2.5-72B,0.85,2024-09-19,Alibaba,China,7.8e+24,"Training dataset size was 18 trillion

6ND = 6 * 72.7 billion parameters * 18 trillion tokens = 7.8e24",Qwen2.5 72B Base,5,DeepSeek-V3 Technical Report,https://arxiv.org/pdf/2412.19437,,rec1e9rTGH12ziqp2
qwen2.5-72b-instruct,0.853,2024-09-19,Alibaba,China,7.8e+24,"Training dataset size was 18 trillion

6ND = 6 * 72.7 billion parameters * 18 trillion tokens = 7.8e24",Qwen2.5 72b instruct,5,Phi-4 Technical Report,http://arxiv.org/abs/2412.08905,"Specifically, we used log-likelihood evaluations for MMLU (5-shot)",recbl49vkZltt7Qu7
qwen2.5-7b-instruct,0.729,2024-09-19,Alibaba,China,8.2188e+23,"Training dataset size was 18 trillion

6ND = 6 * 7.61 billion parameters * 18 trillion tokens = 8.2188e+23",Qwen2.5 Instruct Turbo (7B),5,Stanford CRFM Leaderboard,https://crfm.stanford.edu/helm/lite/latest/#/leaderboard/mmlu,,rec4M7QClQ8t5k7Fi
qwen2.5-72b-instruct,0.834,2024-09-19,Alibaba,China,7.8e+24,"Training dataset size was 18 trillion

6ND = 6 * 72.7 billion parameters * 18 trillion tokens = 7.8e24",Qwen2.5 Instruct Turbo (72B),5,Stanford CRFM Leaderboard,https://crfm.stanford.edu/helm/lite/latest/#/leaderboard/mmlu,,recUfCycerC91cgsO
Qwen2.5-Coder-0.5B,0.42,2024-09-18,,,,,Qwen2.5-Coder-0.5B,,Qwen2.5-Coder Technical Report,http://arxiv.org/abs/2409.12186,,recA0z9ynBjuFVr0i
Qwen2.5-Coder-1.5B,0.536,2024-09-18,Alibaba,China,5.082e+22,6ND =  6*1540000000 parameters *5.5T tokens =5.082e+22,Qwen2.5-Coder-1.5B,,Qwen2.5-Coder Technical Report,http://arxiv.org/abs/2409.12186,,recsb2ABruR7vDJyc
Qwen2.5-Coder-32B,0.612,2024-09-18,Alibaba,China,1.0725e+24,"Assuming 1 epoch

6ND = 6*32.5 parameters *10^9*5.5*10^12 tokens = 1.0725e+24",Qwen2.5-Coder-3B,,Qwen2.5-Coder Technical Report,http://arxiv.org/abs/2409.12186,,recFedHhPHlgqWxpq
Qwen2.5-Coder-7B,0.68,2024-09-18,Alibaba,China,2.5113e+23,6ND = 6 FLOP / token / parameter *7610000000 parameters *5.5T tokens =2.5113e+23 FLOP,Qwen2.5-Coder-7B,,Qwen2.5-Coder Technical Report,http://arxiv.org/abs/2409.12186,,recot1Px8adoUoPs3
Qwen2.5-Coder-14B,0.752,2024-09-18,,,,,Qwen2.5-Coder-14B,,Qwen2.5-Coder Technical Report,http://arxiv.org/abs/2409.12186,,recXLZnQpE0oht07R
Qwen2.5-Coder-32B,0.791,2024-09-18,Alibaba,China,1.0725e+24,"Assuming 1 epoch

6ND = 6*32.5 parameters *10^9*5.5*10^12 tokens = 1.0725e+24",Qwen2.5-Coder-32B,,Qwen2.5-Coder Technical Report,http://arxiv.org/abs/2409.12186,,recgIGiZ5lVnVM7rT
